model_line,artifact_type,path,sha256,evidence_status,role_or_exclusion_reason
Qwen 3.5 2B,training_config,configs/train_lora_qwen35_2b_base_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5.json,020662e3158f1d848e0c55976197b57a211b4e92fa96ebc6aca5dd453542b327,AUTHORITATIVE,Executed semantic training configuration
Llama 3.2 3B Instruct,training_config,configs/train_lora_llama32_3b_instruct_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5.json,81001f1a2b6287d589412bab658d50290fa1ba33c9e5557d44b9ff04a1c4282b,AUTHORITATIVE,Executed semantic training configuration
Qwen 3.5 9B,training_config,configs/train_lora_qwen35_9b_base_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5.json,0bfce20d1e97f0b42b61d3db67679e3feef46b94a58a09147e4a5fb82240815e,AUTHORITATIVE,Executed semantic training configuration
ALL,training_entrypoint,src/07_lora_finetune_sft_v1_clean.py,37d038ef7189d5b3868fa2abf5fa90868e1b07fd477aa4edd1c3d3684955eaf7,SUPPORTING,"Current file; directly persisted for Llama run; Qwen runs used documented earlier hash f34e6fc2d8dca457925ebc51a3e7c2e412977cd83780fe0f9fd1a805cc0e3c64"
ALL,helper_module,src/07_lora_finetune_sft_v2.py,13d42f2f767a0bca55d77b89d32b1d89ce2dcbe3000289a7ac68f4bda30f65d0,SUPPORTING,Imported helper functions; not the executed main entrypoint
Qwen 3.5 2B,train_dataset,data/sql_create_context/train_sft_qwen35_2b_base_full_chat_v1_clean_anti_overjoin_mix_spider_train_sqlcc_spider_schema_harmonized_complexity_enriched_25k_seed42_no_dev_overlap.jsonl,c4b72a87d175b79895081a83f525997b71a230fd9088a7f8c59c40673fa0a40d,AUTHORITATIVE,25000 full-chat training examples
Qwen 3.5 9B,train_dataset,data/sql_create_context/train_sft_qwen35_9b_base_full_chat_v1_clean_anti_overjoin_mix_spider_train_sqlcc_spider_schema_harmonized_complexity_enriched_25k_seed42_no_dev_overlap.jsonl,c4b72a87d175b79895081a83f525997b71a230fd9088a7f8c59c40673fa0a40d,AUTHORITATIVE,Byte-identical Qwen 25000-example training dataset
Llama 3.2 3B Instruct,train_dataset,data/sql_create_context/train_sft_llama32_3b_instruct_full_chat_v2_old25k_no_dev_overlap_seed42.jsonl,14f151ba086d183a139579871762992f699a195bc9300214b544947f8d73edb8,AUTHORITATIVE,Same semantic 25000 cases serialized with native Llama chat template
Qwen 3.5 2B|Qwen 3.5 9B,validation_dataset,data/sql_create_context/val_sft_qwen35_full_chat_v2_mixed_trainothers700_sqlcc1800_no_train_no_dev_overlap_seed42_schemaheaderfix.jsonl,711b23a6dfca40234a33e9aca66506eb33df197f69b6f466fd875854bdb89c08,AUTHORITATIVE,MixedVal2500-v2 schema-header-fixed validation dataset
Llama 3.2 3B Instruct,validation_dataset,data/sql_create_context/val_sft_llama32_3b_instruct_full_chat_v2_mixed_trainothers700_sqlcc1800_no_train_no_dev_overlap_seed42_schemaheaderfix.jsonl,917b0f16a45dc86ead42fea508595860b8700d6fb2c019c8125c3170d032bfb0,AUTHORITATIVE,Same semantic MixedVal2500-v2 cases serialized with native Llama chat template
Qwen 3.5 2B,adapter_root,adapters/qwen35_2b_base/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/adapter_model.safetensors,6b92f120365d127d0c51a4c532953207d65cff611ac08cb7d573880be18223f3,AUTHORITATIVE,Root adapter weights byte-identical to checkpoint-502
Qwen 3.5 2B,adapter_config,adapters/qwen35_2b_base/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/adapter_config.json,4dbd20905a283bb3bd538a1962bf5756723aa7634d1ee85be85ddaab9e8c4ad2,AUTHORITATIVE,Resolved PEFT LoRA configuration
Qwen 3.5 2B,training_metadata,adapters/qwen35_2b_base/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/training_metadata.json,4409632b6eb650748d15800dda4047f18021524da2da850d47b523b3c6ef8ff1,AUTHORITATIVE,Runtime metadata
Qwen 3.5 2B,final_trainer_state,adapters/qwen35_2b_base/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/checkpoints/checkpoint-1506/trainer_state.json,59e8a32dc222f98ad2e11aef9d98a643344c4446faebfbf9d0955e86c21a202b,AUTHORITATIVE,Completed epoch-3 state and checkpoint selection history
Llama 3.2 3B Instruct,adapter_root,adapters/llama32_3b_instruct/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/adapter_model.safetensors,fcd4241f7a2e8e0388f13f0dd9517486cbee43fc3169c983a54e7b716c0e502d,AUTHORITATIVE,Root adapter weights byte-identical to checkpoint-509
Llama 3.2 3B Instruct,adapter_config,adapters/llama32_3b_instruct/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/adapter_config.json,8c7c14a41632a1ab3564fa25521f8737237795b5dcae7730abfe0ab4aca88480,AUTHORITATIVE,Resolved PEFT LoRA configuration
Llama 3.2 3B Instruct,training_metadata,adapters/llama32_3b_instruct/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/training_metadata.json,65c69367b8c993f356b6390cc002ebdc21bd91d7552bedfe2df081d0dbbfe0a6,AUTHORITATIVE,Runtime metadata including model revision and environment fingerprint
Llama 3.2 3B Instruct,final_trainer_state,adapters/llama32_3b_instruct/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/checkpoints/checkpoint-1527/trainer_state.json,fa5476e1694ca6b04a7f81554586f638350eaa4bb94e78840ac58c241af5de6c,AUTHORITATIVE,Completed epoch-3 state and checkpoint selection history
Qwen 3.5 9B,adapter_root,adapters/qwen35_9b_base/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/adapter_model.safetensors,dddf120df0703be5b9106ba17a628f2a9664e6ab5d1cc3ec1311c0a4a2b000f0,AUTHORITATIVE,Root adapter weights byte-identical to checkpoint-502
Qwen 3.5 9B,adapter_config,adapters/qwen35_9b_base/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/adapter_config.json,c92ed3fe67157df3218ac1ba43ba5259f647bd8db364d30f958a0b589b3fe571,AUTHORITATIVE,Resolved PEFT LoRA configuration
Qwen 3.5 9B,training_metadata,adapters/qwen35_9b_base/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/training_metadata.json,3075d2eedad6af883183ca394e7b357c7b7aacf3cec8b2380dcca5f0d7a49a87,AUTHORITATIVE,Runtime metadata
Qwen 3.5 9B,final_trainer_state,adapters/qwen35_9b_base/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5/checkpoints/checkpoint-1506/trainer_state.json,e1e553a9236143f91e84891268a04e40271d7be90c0cfc4372641ed66deb84d5,AUTHORITATIVE,Completed epoch-3 state and checkpoint selection history
ALL,environment_audit,audits/audit_python_environment_provenance_venv_vs_venv_flash_20260716.md,,SUPPORTING,Historical environment reconstruction
ALL,environment_provenance,audits/derived/authoritative_training_environment_provenance_20260716.csv,,SUPPORTING,EENV-2 assignment to .venv_flash for all three lines
Qwen 3.5 2B|Qwen 3.5 9B,mainline_manifest,audits/qwen35_2b_9b_v2_mixedval_schemaheaderfix_mainline_manifest_20260712.json,c54113b52f63d9a80e4d2626303cbff8fc26f34e341ab640f8a91eb789a136c6,SUPPORTING,Authoritative Qwen v2 provenance
Llama 3.2 3B Instruct,dataset_manifest,data/sql_create_context/llama32_3b_instruct_native_chat_v2_dataset_manifest_20260714.json,de9da4ee265ad72fe97310e8bf616a2066f28a4d3f217ae5f1f3aa03241858ae,SUPPORTING,Llama dataset semantic identity and serialization audit
ALL,historical_adapter_group,adapters/qwen35_2b_base/lora_v1_fullchat_*, ,EXCLUDED,Earlier v1 checkpoints and alternative epoch/rank/validation lines
ALL,historical_adapter_group,adapters/qwen35_2b_base/lora_clean_split_*, ,EXCLUDED,Different training split and validation experiments
ALL,historical_adapter_group,adapters/qwen35_2b_base/testmode_*, ,EXCLUDED,Test-mode subsets
ALL,historical_adapter_group,adapters/qwen35_2b_base/archive/*, ,EXCLUDED,Archived legacy smoke 1024-token and completion-only lines
ALL,historical_adapter_group,adapters/llama32_3b_instruct/lora_v1_fullchat_*, ,EXCLUDED,Earlier one/two/four-epoch v1 adapters
ALL,historical_adapter_group,adapters/llama32_3b_instruct/archive/*, ,EXCLUDED,Archived legacy 20k smoke 1024-token and completion-only lines
ALL,historical_adapter_group,adapters/qwen35_9b_base/lora_v1_fullchat_*, ,EXCLUDED,Earlier v1 adapters including alternative LR rank validation and epochs
ALL,historical_adapter_group,adapters/qwen35_9b_base/archive/*, ,EXCLUDED,Archived legacy 20k 1024-token completion-only and alternate-selection lines
ALL,historical_config_group,configs/train_lora_*_v1*.json, ,EXCLUDED,Configs for non-final v1 or sensitivity lines
ALL,historical_config_group,configs/train_lora_*packing1024*.json, ,EXCLUDED,Configs with historical 1024-token training limit
ALL,historical_config_group,configs/train_lora_*completion_only*.json, ,EXCLUDED,Completion-only ablations not used by final v2 adapters
ALL,historical_config_group,configs/train_lora_*testmode*.json, ,EXCLUDED,Smoke and subset configs
